entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Nido, Tomás",621512,121,25,80.1,0.67,16,1.92,1.86,1.93,1,1.58,,1.58
"Realmuto, J.T.",592663,143,28,88.4,0.68,38,1.88,1.88,1.89,2,1.42,1.34,1.51
"Contreras, Willson",575929,112,27,84.7,0.68,27,1.92,1.9,1.92,2,1.56,1.56,
"Rogers, Jake",668670,116,24,79.2,0.65,8,1.91,1.9,1.92,3,1.63,1.66,1.62
"Murphy, Sean",669221,133,24,87.4,0.79,6,1.98,1.92,2.01,0,,,
"Higashioka, Kyle",543309,147,29,82.5,0.78,6,1.94,1.92,1.96,0,,,
"Martin, Russell",431145,119,36,83.6,0.75,9,2.04,1.92,2.07,0,,,
"Díaz, Elias",553869,134,28,85.3,0.71,18,1.93,1.93,1.92,3,1.47,1.46,1.5
"Piña, Manny",444489,158,32,83.2,0.66,16,1.95,1.94,1.96,2,1.63,1.58,1.69
"Sánchez, Gary",596142,147,26,87.9,0.73,23,1.93,1.94,1.92,1,1.44,,1.44
"Molina, Yadier",425877,138,36,84.1,0.69,12,1.98,1.95,2.0,1,1.45,,1.45
"Maile, Luke",571912,141,28,83.2,0.7,13,1.99,1.95,2.02,1,1.6,,1.6
"Stallings, Jacob",607732,134,29,84.7,0.7,9,1.98,1.95,2.0,1,1.53,,1.53
"Castillo, Welington",456078,145,32,79.9,0.65,19,1.96,1.96,1.96,0,,,
"Maldonado, Martín",455117,117,32,87.3,0.76,27,1.96,1.96,1.97,0,,,
"Zunino, Mike",572287,139,28,81.6,0.69,20,1.97,1.96,1.98,3,1.59,,1.59
"Bemboom, Anthony",621532,108,29,83.5,0.69,7,1.99,1.97,2.01,1,1.58,,1.58
"McGuire, Reese",624512,141,24,79.0,0.63,9,1.97,1.97,1.96,3,1.62,,1.62
"Alfaro, Jorge",595751,146,26,88.2,0.75,27,1.94,1.97,1.91,1,1.68,,1.68
"Wolters, Tony",547172,115,27,79.9,0.64,33,1.96,1.97,1.95,3,1.54,1.54,1.54
"Pérez, Roberto",547379,114,30,82.6,0.73,30,1.96,1.97,1.95,0,,,
"Hedges, Austin",595978,135,26,83.2,0.68,18,1.92,1.97,1.9,3,1.55,1.62,1.51
"Smith, Kevan",607345,108,31,83.0,0.77,11,2.06,1.98,2.07,1,1.51,,1.51
"Garneau, Dustin",572863,133,31,78.1,0.68,9,1.97,1.98,1.96,1,1.62,,1.62
"León, Sandy",506702,111,30,78.7,0.67,14,2.02,1.99,2.03,2,1.57,1.57,
"Severino, Pedro",600474,110,25,83.8,0.74,25,1.99,1.99,1.99,0,,,
"Phegley, Josh",572033,133,31,80.0,0.66,32,1.99,1.99,1.98,3,1.85,1.85,
"Garver, Mitch",641598,142,28,82.9,0.77,11,2.03,1.99,2.04,1,1.89,,1.89
"Greiner, Grayson",606988,116,26,85.8,0.76,25,1.97,1.99,1.97,2,1.51,1.49,1.53
"Gomes, Yan",543228,120,31,80.5,0.66,22,1.96,1.99,1.95,3,1.53,1.52,1.55
"Posey, Buster",457763,137,32,83.0,0.73,41,2.0,1.99,2.0,3,1.55,,1.55
"Smith, Will",669257,119,24,83.6,0.72,11,1.99,2.0,1.97,0,,,
"Astudillo, Willians",553902,142,27,78.8,0.76,8,2.0,2.0,2.0,2,1.89,,1.89
"Wilson, Bobby",435064,116,36,76.3,0.76,8,2.08,2.0,2.1,1,1.62,,1.62
"Wynns, Austin",642851,110,28,78.9,0.72,9,2.02,2.0,2.03,0,,,
"Hicks, John",543308,116,29,82.8,0.72,22,2.0,2.0,2.0,3,1.56,,1.56
"Avila, Alex",488671,109,32,81.5,0.74,18,2.01,2.0,2.01,0,,,
"Cervelli, Francisco",465041,144,33,80.2,0.68,10,1.99,2.0,1.98,0,,,
"Vázquez, Christian",543877,111,28,81.5,0.71,27,1.98,2.0,1.94,3,1.55,1.52,1.63
"Kiner-Falefa, Isiah",643396,140,24,78.0,0.66,9,2.02,2.01,2.03,0,,,
"Viloria, Meibrys",650619,118,22,82.5,0.74,9,1.98,2.01,1.93,3,1.58,1.58,
"Lucroy, Jonathan",518960,112,33,80.1,0.69,28,2.01,2.01,2.01,2,1.56,,1.56
"Kratz, Erik",456124,139,39,80.9,0.75,8,2.01,2.01,2.01,0,,,
"Ramos, Wilson",467092,121,31,81.6,0.71,59,2.0,2.01,2.0,5,1.57,,1.57
"Hundley, Nick",460026,133,35,80.5,0.71,12,2.01,2.02,2.0,1,1.54,1.54,
"Wieters, Matt",446308,138,33,79.3,0.71,10,2.02,2.02,2.0,0,,,
"McCann, James",543510,145,29,81.1,0.75,21,2.05,2.02,2.07,6,1.6,1.54,1.63
"Knapp, Andrew",595284,143,27,83.9,0.73,14,1.99,2.02,1.98,0,,,
"Trevino, Jose",624431,140,26,76.3,0.69,9,2.06,2.02,2.08,1,1.69,,1.69
"Kelly, Carson",608348,109,24,82.5,0.74,18,1.99,2.02,1.98,0,,,
"Jansen, Danny",643376,141,24,80.3,0.77,36,2.05,2.03,2.06,2,1.61,,1.61
"Holaday, Bryan",592407,146,31,78.1,0.69,9,2.03,2.03,2.02,2,1.58,1.59,1.57
"Pérez, Michael",605421,139,26,84.3,0.74,5,2.02,2.03,2.01,0,,,
"Castro, Jason",488771,142,32,81.2,0.74,20,2.01,2.03,2.0,2,1.61,,1.61
"Barnhart, Tucker",571466,113,28,79.6,0.71,31,2.01,2.03,2.0,1,1.59,1.59,
"Mejía, Francisco",642336,135,23,89.0,0.77,12,1.95,2.03,1.94,1,1.62,,1.62
"Gallagher, Cam",595956,118,26,80.0,0.74,13,2.05,2.04,2.05,0,,,
"Iannetta, Chris",455104,115,36,80.2,0.75,8,2.08,2.04,2.1,1,1.63,,1.63
"Chirinos, Robinson",455139,117,35,80.8,0.72,26,2.03,2.04,2.02,0,,,
"Suzuki, Kurt",435559,120,35,81.1,0.79,20,2.06,2.04,2.07,3,1.65,1.69,1.63
"d'Arnaud, Travis",518595,139,30,83.4,0.74,20,1.99,2.04,1.94,0,,,
"Federowicz, Tim",543148,140,31,80.1,0.69,5,2.03,2.04,2.02,1,1.6,,1.6
"Caratini, Victor",605170,112,25,79.0,0.75,13,2.07,2.04,2.08,3,1.71,1.71,1.7
"Sucre, Jesús",491696,110,31,80.7,0.78,5,2.05,2.05,2.06,0,,,
"Casali, Curt",592200,113,30,79.2,0.75,20,2.07,2.06,2.08,3,1.61,1.62,1.61
"Murphy, Tom",608596,136,28,84.9,0.78,17,2.04,2.06,2.02,1,1.79,,1.79
"Stassi, Max",545358,108,28,81.1,0.73,10,2.03,2.07,2.02,1,1.61,1.61,
"McCann, Brian",435263,144,35,77.2,0.78,20,2.08,2.08,2.08,3,1.63,1.66,1.62
"Sisco, Chance",642082,110,24,79.1,0.78,20,2.1,2.09,2.1,0,,,
"Grandal, Yasmani",518735,158,30,78.5,0.72,45,2.07,2.09,2.06,2,1.66,1.66,1.67
"Flowers, Tyler",452095,144,33,75.9,0.74,23,2.12,2.09,2.13,1,1.58,,1.58
"Plawecki, Kevin",608700,114,28,77.1,0.72,11,2.1,2.1,2.1,3,1.57,1.58,1.56
"Narváez, Omar",553882,136,27,79.2,0.74,31,2.07,2.1,2.06,3,1.62,1.62,1.64
"Mathis, Jeff",425772,140,36,76.5,0.77,24,2.12,2.12,2.12,3,1.78,,1.78
"Barnes, Austin",605131,119,29,76.8,0.67,10,2.09,2.13,2.09,2,1.6,,1.6
"Vogt, Stephen",519390,137,34,73.4,0.7,14,2.14,2.13,2.14,2,1.72,1.65,1.78
"Romine, Austin",519222,147,30,82.2,0.83,13,2.06,2.14,2.03,3,1.68,1.56,1.74
"Joseph, Caleb",543376,109,33,79.3,0.78,5,2.08,2.17,1.95,0,,,
