team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,82,80
ATL,Atlanta Braves,90,72
BAL,Baltimore Orioles,47,115
BOS,Boston Red Sox,108,54
CHC,Chicago Cubs,95,68
CIN,Cincinnati Reds,67,95
CLE,Cleveland Indians,91,71
COL,Colorado Rockies,91,72
CWS,Chicago White Sox,62,100
DET,Detroit Tigers,64,98
HOU,Houston Astros,103,59
KC,Kansas City Royals,58,104
LAA,Los Angeles Angels,80,82
LAD,Los Angeles Dodgers,92,71
MIA,Miami Marlins,63,98
MIL,Milwaukee Brewers,96,67
MIN,Minnesota Twins,78,84
NYM,New York Mets,77,85
NYY,New York Yankees,100,62
OAK,Oakland Athletics,97,65
PHI,Philadelphia Phillies,80,82
PIT,Pittsburgh Pirates,82,79
SD,San Diego Padres,66,96
SEA,Seattle Mariners,89,73
SF,San Francisco Giants,73,89
STL,St. Louis Cardinals,88,74
TB,Tampa Bay Rays,90,72
TEX,Texas Rangers,67,95
TOR,Toronto Blue Jays,73,89
WSH,Washington Nationals,82,80
